"PRIMARY","COLUMN_NAME","FILE_1_DATA","FILE_2_DATA","IMAGE_NAME"
" 730394","Q5","","D","730394.jpg"
" 730394","Q54","A","*","730394.jpg"
" 730419","Q10","D","*","730419.jpg"
" 730423","Q92","B","*","730423.jpg"
" 633755","Q60","","B","633755.jpg"
" 633733","Q52","","B","633733.jpg"
" 633930","Q58","B","*","633930.jpg"
" 633850","Q60","*","B","633850.jpg"
" 633857","Q83","","D","633857.jpg"
" 633630","Q58","","B","633630.jpg"
" 633648","Q44","*","C","633648.jpg"
" 605479","Q91","","B","605479.jpg"
" 605446","Q46","B","*","605446.jpg"
" 605353","Q49","C","*","605353.jpg"
" 605715","Q20","B","*","605715.jpg"
" 605492","Q24","*","B","605492.jpg"
" 605627","Q91","","A","605627.jpg"
" 605538","Q18","A","*","605538.jpg"
" 623809","Q53","C","*","623809.jpg"
" 623824","Q89","","A","623824.jpg"
" 623801","Q61","","A","623801.jpg"
" 623723","Q81","D","*","623723.jpg"
" 623731","Q5","","C","623731.jpg"
" 623640","Q23","","B","623640.jpg"
" 623546","Q9","","C","623546.jpg"
" 623441","Q75","C","*","623441.jpg"
" 623376","Q24","B","*","623376.jpg"
" 736218","Q62","","D","736218.jpg"
" 736223","Q82","B","*","736223.jpg"
" 736246","Q12","","C","736246.jpg"
" 736306","Q75","A","*","736306.jpg"
" 736378","Q73","B","*","736378.jpg"
" 736465","Q28","D","*","736465.jpg"
" 736475","Q41","B","*","736475.jpg"
" 731404","Q55","C","*","731404.jpg"
" 731422","Q39","","B","731422.jpg"
" 731452","Q9","B","*","731452.jpg"
" 731515","Q16","","D","731515.jpg"
" 731572","Q70","","D","731572.jpg"
" 731594","Q35","","A","731594.jpg"
" 762899","Q72","","D","762899.jpg"
" 762902","Q40","B","*","762902.jpg"
" 762919","Q80","*","D","762919.jpg"
" 762940","Q78","","A","762940.jpg"
" 762960","Q70","","A","762960.jpg"
" 762962","Q50","","A","762962.jpg"
